user_id,restaurant_id,rating,review_text,source_user_name,weekday,review_length,name,address,location_lat,location_lng,primary_type,attributes,review_id,overall_score,overall_magnitude,food_score,service_score,value_score,ambiance_score,language,emotions,year,month,day
1,ChIJaZxVboEoQg0R2Xyk4VBN6QA,5,"As soon as you step inside, you’re enveloped in a warm welcome! The ambiance strikes a perfect balance between modern flair and a sultry vibe that instantly captivates you. Each dish that arrives is an explosion of flavor, with every course surpassing the last in deliciousness. The service? Absolutely phenomenal! The team moves with impeccable harmony, making every moment of your experience truly unforgettable.",Melissa Pedroso-Pearson,Thursday,64,CEBO Madrid Restaurant,"Cra de S. Jerónimo, 34, Centro, 28014 Madrid, Spain",40.416360000000005,-3.69863,Fine Dining Restaurant,"{""dineIn"":true,""takeout"":false,""delivery"":false,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":1006}",1.0,0.699999988079071,5.0,0.8999999761581421,-0.1000000014901161,0.0,0.8999999761581421,en,"[""satisfaction""]",2024,12,19
2,ChIJaZxVboEoQg0R2Xyk4VBN6QA,5,"If you can afford the place, it is well worth it. Located inside the Urban hotel, the restaurant looks very modern and is very stark, with concrete and wood paneled walls and tiles on the floor and not much decor overall. To be honest, this is not a romantic place to take a loved one to a quiet meal, as the dinner is basically a show that will require all your attention and senses. But what a show it is! We picked an 11-course meal, which was delivered by three very knowledgeable and attentive waiters over two and a half hours. It would be too long to describe every dish, so I'm posting the menu with the photos. While some dishes were better than others, none were bad and all were impressively tasty and amazingly good. Great job Yassin et al. We had a fantastic evening.",Guillaume Slama,Monday,146,CEBO Madrid Restaurant,"Cra de S. Jerónimo, 34, Centro, 28014 Madrid, Spain",40.416360000000005,-3.69863,Fine Dining Restaurant,"{""dineIn"":true,""takeout"":false,""delivery"":false,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":1006}",2.0,0.4000000059604645,5.900000095367432,0.4499999862164259,0.0999999940395355,0.800000011920929,-0.1000000014901161,en,"[""contentment""]",2024,9,30
3,ChIJaZxVboEoQg0R2Xyk4VBN6QA,5,The CEBO offers excellent creative and yet “Spanish” food which truly deserves the Michelin star. All of the dishes have these subtle and warm flavors which make you happy.,Martin MD,Friday,29,CEBO Madrid Restaurant,"Cra de S. Jerónimo, 34, Centro, 28014 Madrid, Spain",40.416360000000005,-3.69863,Fine Dining Restaurant,"{""dineIn"":true,""takeout"":false,""delivery"":false,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":1006}",3.0,0.8999999761581421,1.899999976158142,0.8999999761581421,0.0,0.0,0.0,en,"[""joy""]",2025,2,7
4,ChIJaZxVboEoQg0R2Xyk4VBN6QA,5,"Amazing experience. We had the 16 course tasting menu and it was an absolute treat. Endless wonderfully crafted plates, explained with passion. The chef presented one to us too. Paired wines are excellent. Incredible service. Really enjoyable experience.",Ju Do,Friday,38,CEBO Madrid Restaurant,"Cra de S. Jerónimo, 34, Centro, 28014 Madrid, Spain",40.416360000000005,-3.69863,Fine Dining Restaurant,"{""dineIn"":true,""takeout"":false,""delivery"":false,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":1006}",4.0,0.8999999761581421,6.599999904632568,0.8999999761581421,0.8999999761581421,0.0,0.0,en,"[""joy""]",2024,6,14
5,ChIJ189rc3soQg0R7l7WUa5fgo8,3,"When in Madrid. That’s me, I’m in Madrid. Great little spot i found online. Great atmosphere, makes you feel like you’re a local. Food was decent. Great portions. Got some beef thing that was really good and crunchy. The goat cheese was fabulous. Overall, the tapas were good, not outstanding but solid. Could totally see this as a great spot for friends to go to have a chill afternoon or drinks at night. Was pretty tired after a flight when I was here so keep that in mind. Madrid!",Alex Yang,Saturday,89,El Minibar,"C/ del Mesón de Paños, 1, Centro, 28013 Madrid, Spain",40.4163335,-3.7091914,Bar,"{""dineIn"":true,""takeout"":false,""delivery"":false,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":7216}",5.0,0.5,7.300000190734863,0.0,0.0,0.0,0.8999999761581421,en,"[""contentment""]",2025,3,8
6,ChIJ189rc3soQg0R7l7WUa5fgo8,5,"An Amazing Little Hidden Spot, I Highly Recommend You Go Here They Don't Make Your Usual Tapas Its Creative Exciting And Overall Incredible Value. How This Place Is Not Got Huge Cues I Don't No. We Had To Wait Around Only 15mins. The Team Are Incredible And Make You Feel So Welcome. I Highly Recommend The Cod With Prawns I credible Mouth Watering Dish, Also The Corn Squid So So Tasty And A Must. I Had 4 Dishes To Share And It Was The Perfect Amount I Could Have Tried There Entire Menu. I Can't Wait To Come Back. Also Don't Leave Without Trying There Sangria White & Red. Service Is Amazing And A Credit To Madrid.",Michael Ireland,Saturday,117,El Minibar,"C/ del Mesón de Paños, 1, Centro, 28013 Madrid, Spain",40.4163335,-3.7091914,Bar,"{""dineIn"":true,""takeout"":false,""delivery"":false,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":7216}",6.0,0.2000000029802322,5.900000095367432,0.8999999761581421,0.8999999761581421,0.800000011920929,0.0,en,"[""contentment""]",2025,3,1
7,ChIJ189rc3soQg0R7l7WUa5fgo8,5,"One of our favorite spots in Madrid. Everything is just right here, from the friendly welcome and service to the cuisine. The staff really put their hearts into looking after the well-being of the guests. Something that can no longer be taken for granted today. We are already longing for our next visit.",Laurent S.,Tuesday,53,El Minibar,"C/ del Mesón de Paños, 1, Centro, 28013 Madrid, Spain",40.4163335,-3.7091914,Bar,"{""dineIn"":true,""takeout"":false,""delivery"":false,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":7216}",7.0,0.699999988079071,3.900000095367432,0.8999999761581421,0.8999999761581421,0.0,0.0,en,"[""satisfaction""]",2025,2,25
8,ChIJvXloBlgpQg0RTzvj3_auS9U,5,"Amazing food and a good variety of uniquely cooked dishes. Very distinct from other restaurants we’ve been to. The slow cooked pork cheek was the highlight of the lunch, whereas the salad was sweeter than we expected.",Chris,Tuesday,37,Restaurante Gloria Bendita Madrid,"Calle de Santiago, 3, Centro, 28013 Madrid, Spain",40.4161061,-3.709946999999999,Restaurant,"{""dineIn"":true,""takeout"":true,""delivery"":false,""outdoorSeating"":true,""reservable"":true,""userRatingCount"":2883}",,,,,,,,,,2024,12,31
9,ChIJvXloBlgpQg0RTzvj3_auS9U,5,"Super yummy food with a very hospitable restaurant owner/chef. You're welcomed with a warm smile from the host and even warmer and fresh bread. They have a lot of vegetarian options and each dish is cooked and presented to perfection. If you're in Madrid or plan to visit, highly recommend you should try this restaurant for at least one of your meals.",sugandha jindal,Tuesday,62,Restaurante Gloria Bendita Madrid,"Calle de Santiago, 3, Centro, 28013 Madrid, Spain",40.4161061,-3.709946999999999,Restaurant,"{""dineIn"":true,""takeout"":true,""delivery"":false,""outdoorSeating"":true,""reservable"":true,""userRatingCount"":2883}",,,,,,,,,,2024,12,3
10,ChIJvXloBlgpQg0RTzvj3_auS9U,5,Great food in central Madrid. The meat was really good. The staff was welcoming and helpful. I would recommend this place.,Francesco Libardoni,Monday,21,Restaurante Gloria Bendita Madrid,"Calle de Santiago, 3, Centro, 28013 Madrid, Spain",40.4161061,-3.709946999999999,Restaurant,"{""dineIn"":true,""takeout"":true,""delivery"":false,""outdoorSeating"":true,""reservable"":true,""userRatingCount"":2883}",,,,,,,,,,2025,3,10
