"user_id","restaurant_id","rating","review_text","date","source_user_name"
"2","ChIJaZxVboEoQg0R2Xyk4VBN6QA","5","As soon as you step inside, you’re enveloped in a warm welcome! The ambiance strikes a perfect balance between modern flair and a sultry vibe that instantly captivates you. Each dish that arrives is an explosion of flavor, with every course surpassing the last in deliciousness. The service? Absolutely phenomenal! The team moves with impeccable harmony, making every moment of your experience truly unforgettable.","2024-12-19","Melissa Pedroso-Pearson"
"3","ChIJaZxVboEoQg0R2Xyk4VBN6QA","5","If you can afford the place, it is well worth it. Located inside the Urban hotel, the restaurant looks very modern and is very stark, with concrete and wood paneled walls and tiles on the floor and not much decor overall. To be honest, this is not a romantic place to take a loved one to a quiet meal, as the dinner is basically a show that will require all your attention and senses. But what a show it is! We picked an 11-course meal, which was delivered by three very knowledgeable and attentive waiters over two and a half hours. It would be too long to describe every dish, so I'm posting the menu with the photos. While some dishes were better than others, none were bad and all were impressively tasty and amazingly good. Great job Yassin et al. We had a fantastic evening.","2024-09-30","Guillaume Slama"
"4","ChIJaZxVboEoQg0R2Xyk4VBN6QA","5","The CEBO offers excellent creative and yet “Spanish” food which truly deserves the Michelin star. All of the dishes have these subtle and warm flavors which make you happy.","2025-02-07","Martin MD"
"5","ChIJaZxVboEoQg0R2Xyk4VBN6QA","5","Amazing experience. We had the 16 course tasting menu and it was an absolute treat. Endless wonderfully crafted plates, explained with passion. The chef presented one to us too. Paired wines are excellent. Incredible service. Really enjoyable experience.","2024-06-14","Ju Do"
"1","ChIJ189rc3soQg0R7l7WUa5fgo8","3","When in Madrid. That’s me, I’m in Madrid. Great little spot i found online. Great atmosphere, makes you feel like you’re a local. Food was decent. Great portions. Got some beef thing that was really good and crunchy. The goat cheese was fabulous. Overall, the tapas were good, not outstanding but solid. Could totally see this as a great spot for friends to go to have a chill afternoon or drinks at night. Was pretty tired after a flight when I was here so keep that in mind. Madrid!","2025-03-08","Alex Yang"
"3","ChIJ189rc3soQg0R7l7WUa5fgo8","5","An Amazing Little Hidden Spot, I Highly Recommend You Go Here They Don't Make Your Usual Tapas Its Creative Exciting And Overall Incredible Value. How This Place Is Not Got Huge Cues I Don't No. We Had To Wait Around Only 15mins. The Team Are Incredible And Make You Feel So Welcome. I Highly Recommend The Cod With Prawns I credible Mouth Watering Dish, Also The Corn Squid So So Tasty And A Must. I Had 4 Dishes To Share And It Was The Perfect Amount I Could Have Tried There Entire Menu. I Can't Wait To Come Back. Also Don't Leave Without Trying There Sangria White & Red. Service Is Amazing And A Credit To Madrid.","2025-03-01","Michael Ireland"
"5","ChIJ189rc3soQg0R7l7WUa5fgo8","5","One of our favorite spots in Madrid. Everything is just right here, from the friendly welcome and service to the cuisine. The staff really put their hearts into looking after the well-being of the guests. Something that can no longer be taken for granted today. We are already longing for our next visit.","2025-02-25","Laurent S."
"2","ChIJvXloBlgpQg0RTzvj3_auS9U","5","Amazing food and a good variety of uniquely cooked dishes. Very distinct from other restaurants we’ve been to. The slow cooked pork cheek was the highlight of the lunch, whereas the salad was sweeter than we expected.","2024-12-31","Chris"
"3","ChIJvXloBlgpQg0RTzvj3_auS9U","5","Super yummy food with a very hospitable restaurant owner/chef. You're welcomed with a warm smile from the host and even warmer and fresh bread. They have a lot of vegetarian options and each dish is cooked and presented to perfection. If you're in Madrid or plan to visit, highly recommend you should try this restaurant for at least one of your meals.","2024-12-03","sugandha jindal"
"5","ChIJvXloBlgpQg0RTzvj3_auS9U","5","Great food in central Madrid. The meat was really good. The staff was welcoming and helpful. I would recommend this place.","2025-03-10","Francesco Libardoni"
"2","ChIJcfNWJ9YnQg0RZLL0hcVboYA","5","a super restaurant! from the atmosphere to the food! everything is super good and of high quality. the staff is extremely friendly! it's totally worth going!","2025-03-03","Ioan Iurasec"
"3","ChIJcfNWJ9YnQg0RZLL0hcVboYA","5","I go with my husband and son to dine last Saturday.  Raquel and her team is really nice, warm and considerate.  We deeply appreciate their service level such as replaced all our dishes for every dish to ensure we can enjoy the best taste of each dish.  What are wonderful night we have in Madrid!  Thank you all of you and of course the food is high value to their price.","2024-10-28","Colby Tong"
"4","ChIJcfNWJ9YnQg0RZLL0hcVboYA","5","Hidden gem! I had the tenderloin special that was fantastic. Super cute restaurant and the staff was so sweet and kind. It was also nice that it was just half a block off the rowdy main restaurant street and able to have an upscale feel vs the crowded and chaotic places on the other street.","2024-10-05","Lori Gao"
